AGENCY,UPLOADED ON,VALUE
Department Of Education,2/7/2025,9475685
Department Of Education,2/7/2025,6862220
Department Of Education,2/7/2025,7323924
Department Of Education,2/10/2025,12192041
Department Of Education,2/10/2025,13757722
Department Of Education,2/10/2025,6262866
Department Of Education,2/10/2025,9999851
Department Of Education,2/10/2025,9219756
Department Of Education,2/10/2025,4525065
Department Of Education,2/10/2025,14252797
Department Of Education,2/10/2025,9876928
Department Of Education,2/10/2025,10261487
Department Of Education,2/10/2025,17731785
Department Of Education,2/10/2025,8652361
Department Of Education,2/10/2025,9146065
Department Of Education,2/10/2025,7220136
Department Of Education,2/10/2025,5406889
Department Of Education,2/10/2025,14797304
Department Of Education,2/10/2025,3348763
Department Of Education,2/10/2025,9150854
Department Of Education,2/10/2025,4506218
Department Of Education,2/10/2025,11653965
Department Of Education,2/10/2025,13318352
Department Of Education,2/10/2025,5277224
Department Of Education,2/10/2025,6903111
Department Of Education,2/10/2025,2775628
Department Of Education,2/10/2025,662744
Department Of Education,2/10/2025,15005675
Department Of Education,2/10/2025,5947162
Department Of Education,2/10/2025,3931044
Department Of Education,2/10/2025,2172133
Department Of Education,2/10/2025,3490854
USAID,1/24/2025,2365702
USAID,1/30/2025,8000000
USAID,2/6/2025,500000
USAID,2/10/2025,15700000
USAID,2/10/2025,24500000
USAID,2/10/2025,19526440
USAID,2/10/2025,1500000
USAID,2/10/2025,10000000
USAID,2/10/2025,500000
USAID,2/10/2025,15000000
USAID,2/10/2025,1000000
USAID,2/10/2025,6000000
USAID,2/10/2025,28000000
USAID,2/10/2025,15000000
USAID,2/10/2025,11000000
USAID,2/10/2025,15999654
USAID,2/10/2025,1466694
USAID,2/10/2025,185000
USAID,2/10/2025,16355000
USAID,2/10/2025,4700000
USAID,2/10/2025,500000
USAID,2/11/2025,21600000
USAID,2/11/2025,30000000
USAID,2/11/2025,2399953
USAID,2/11/2025,26490383
USAID,2/11/2025,14950000
USAID,2/11/2025,10000000
USAID,2/11/2025,500000
USAID,2/11/2025,14550000
USAID,2/11/2025,21000000
USAID,2/11/2025,15000000
USAID,2/11/2025,15000000
USAID,2/11/2025,15000000
USAID,1/25/2025,9949533
USAID,2/11/2025,30000000
USAID,2/11/2025,15000000
USAID,2/11/2025,3020000
USAID,2/11/2025,1999451
USAID,2/11/2025,19800000
USAID,2/11/2025,4000000
USAID,2/11/2025,15000000
USAID,2/11/2025,17500000
USAID,2/11/2025,6400000
USAID,2/11/2025,17000000
USAID,2/11/2025,24500000
USAID,2/11/2025,29000000
USAID,2/11/2025,25000000
USAID,2/11/2025,36000000
USAID,2/11/2025,20000000
USAID,2/11/2025,47000000
USAID,2/11/2025,10000000
USAID,2/11/2025,4600000
USAID,2/11/2025,4186109
USAID,2/11/2025,10851354
USAID,2/11/2025,7000000
USAID,2/11/2025,20469999
USAID,2/11/2025,5000000
USAID,2/11/2025,26056000
USAID,1/30/2025,400000
USAID,2/11/2025,19477181
USAID,2/12/2025,2000000
USAID,2/12/2025,15550000
USAID,2/12/2025,19000000
USAID,2/12/2025,9500000
USAID,2/12/2025,17600000
USAID,2/12/2025,19600000
USAID,2/6/2025,1799150
USAID,2/10/2025,77500000
USAID,2/10/2025,62500000
USAID,2/10/2025,45000000
USAID,2/6/2025,7500000
USAID,2/6/2025,49964668
USAID,2/6/2025,199251
USAID,2/6/2025,500000
USAID,2/10/2025,4377394
USAID,2/10/2025,45000000
USAID,2/10/2025,2499995
USAID,2/10/2025,899858
USAID,2/10/2025,18735000
USAID,2/10/2025,700000
USAID,2/10/2025,5000000
USAID,2/10/2025,8250000
USAID,2/10/2025,2500000
USAID,2/12/0205,59552142
USAID,2/11/2025,20100000
USAID,2/11/2025,70000000
USAID,2/11/2025,35000000
USAID,2/11/2025,53264317
USAID,2/11/2025,24999825
USAID,2/11/2025,40000000
USAID,2/11/2025,30000000
USAID,2/11/2025,79249987
USAID,2/11/2025,62000000
USAID,2/11/2025,42217035
USAID,2/11/2025,43000000
USAID,2/11/2025,49500000
USAID,2/11/2025,43568610
USAID,2/11/2025,54992940
USAID,2/11/2025,128500000
USAID,2/6/2025,1800000
USAID,2/11/2025,62900000
USAID,2/11/2025,30000000
USAID,2/11/2025,38000000
USAID,2/11/2025,1323093
USAID,2/12/2025,93599994
USAID,2/12/2025,96999895
USAID,2/12/2025,47500000
USAID,2/12/2025,37495000
USAID,2/12/2025,60000000
USAID,2/6/2025,1500000
USAID,2/12/2025,25635960
USAID,2/6/2025,3467480
USAID,2/6/2025,25000000
USAID,2/6/2025,1195836
USAID,2/7/2025,500000
USAID,2/10/2025,21823000
USAID,2/10/2025,40000000
USAID,2/10/2025,90000000
USAID,2/10/2025,55000000
USAID,2/11/2025,14500000
USAID,2/6/2025,318653764
USAID,2/6/2025,25000000
USAID,2/11/2025,29946856
USAID,2/6/2025,30000000
USAID,2/6/2025,20759
USAID,2/11/2025,39484357
USAID,2/13/2025,60000000
USAID,2/13/2025,51310195
Department Of Education,2/12/2025,2165033
Department Of Education,2/12/2025,4882350
Department Of Education,2/12/2025,3692915
